OID_b,FID,COUNT_b,AREA_b,MEAN_b
413,412,159882,159882,0
414,413,110335,110335,0
415,414,122150,122150,0
416,415,159890,159890,0
417,416,159895,159895,0
418,417,159909,159909,0
419,418,159913,159913,0
420,419,159903,159903,0
421,420,159901,159901,0
422,421,159894,159894,0
423,422,159888,159888,0
424,423,159879,159879,0
425,424,159912,159912,0.000549661
426,425,159912,159912,0.019950287
427,426,159888,159888,0.096139763
428,427,159911,159911,0.050402388
429,428,159903,159903,0.009821245
430,429,159865,159865,0.00158663
431,430,159890,159890,0.056066752
432,431,159910,159910,0.156396354
433,432,159888,159888,0.014045024
434,433,159911,159911,0.142619324
435,434,159910,159910,0.155843467
436,435,159887,159887,0.015647284
437,436,159886,159886,0.12489676
438,437,159886,159886,0.045590209
439,438,159892,159892,0.007447196
440,439,159900,159900,0.007479253
441,440,159910,159910,0.008469915
442,441,159905,159905,0.032510812
443,442,159890,159890,0.025395737
444,443,159890,159890,0
445,444,159885,159885,0
446,445,159875,159875,0
447,446,159908,159908,4.29E-05
448,447,159909,159909,0
449,448,159885,159885,0.005917465
450,449,159908,159908,0.004651673
451,450,159893,159893,0
452,451,159860,159860,0
453,452,159895,159895,0
454,453,159908,159908,0
455,454,159889,159889,0
456,455,159902,159902,0
457,456,159908,159908,0
458,457,159885,159885,0
459,458,159867,159867,0
460,459,109411,109411,0
461,460,123092,123092,0
462,461,159914,159914,0
463,462,159869,159869,0.008648122
464,463,159890,159890,0
465,464,159901,159901,0
466,465,159890,159890,0
467,466,159912,159912,0.011024364
468,467,159912,159912,0.763565769
469,468,159889,159889,0.212782433
470,469,159901,159901,0.838755059
471,470,159889,159889,0.768761834
472,471,159874,159874,0.150609924
473,472,159906,159906,0.114971184
474,473,159911,159911,0.090441755
475,474,159903,159903,0.017482055
476,475,159896,159896,0.135717995
477,476,159909,159909,0.153705917
478,477,159887,159887,0.142995245
479,478,159864,159864,0.011779056
480,479,159905,159905,0.106702308
481,480,159910,159910,0.002551624
482,481,159888,159888,0.008398507
483,482,159909,159909,0.062595033
484,483,159910,159910,0.017145645
485,484,159867,159867,0.014461948
486,485,159886,159886,0.015075843
487,486,159897,159897,0.143594865
488,487,159887,159887,0.471417773
489,488,159910,159910,0.163933395
490,489,159908,159908,0
491,490,159891,159891,0.002503642
492,491,159891,159891,0.001094002
493,492,159885,159885,0.001409312
494,493,159883,159883,0.004851585
495,494,159893,159893,0.007799199
496,495,159909,159909,0.001228347
497,496,159908,159908,1.74E-05
498,497,159884,159884,0.002857019
499,498,159898,159898,0.007070877
500,499,159884,159884,0.001441385
501,500,159863,159863,0
502,501,159908,159908,0
503,502,159908,159908,0
504,503,159883,159883,0
505,504,159906,159906,0
506,505,108454,108454,0
507,506,124002,124002,0
508,507,159905,159905,0
509,508,159898,159898,0.008151914
510,509,159914,159914,0.001858708
511,510,159899,159899,0
512,511,159869,159869,0
513,512,159892,159892,0
514,513,159912,159912,0
515,514,159889,159889,0.058662851
516,515,159912,159912,0.291178074
517,516,159912,159912,0
518,517,159886,159886,0
519,518,159889,159889,0.136494884
520,519,159889,159889,0.206631511
521,520,159881,159881,0.066617833
522,521,159912,159912,0.152198296
523,522,159912,159912,0.201804204
524,523,159887,159887,0.160104387
525,524,159911,159911,0.320743857
526,525,159893,159893,0.172583854
527,526,159872,159872,0.00154642
528,527,159888,159888,0.108272059
529,528,159911,159911,0.388664884
530,529,159904,159904,0.09760081
531,530,159893,159893,0.104958726
532,531,159910,159910,0.104172224
533,532,159899,159899,0.193592997
534,533,159861,159861,0.121368785
535,534,159890,159890,0.044050247
536,535,159910,159910,0.012502233
537,536,159885,159885,0.199749827
538,537,159908,159908,0.058356495
539,538,159909,159909,0.003069786
540,539,159878,159878,0.007231459
541,540,159884,159884,0.007645023
542,541,159885,159885,0.005634375
543,542,159886,159886,0
544,543,159907,159907,0
545,544,159908,159908,0.014538836
546,545,159895,159895,0
547,546,159891,159891,0
548,547,159884,159884,0
549,548,159880,159880,0
