OID_,FID,COUNT,AREA,MEAN
1342,1341,159902.000000000000000,159902.000000000000000,1.568121135893122
1343,1342,159911.000000000000000,159911.000000000000000,1.854908801268083
1344,1343,159900.000000000000000,159900.000000000000000,1.209996309262495
1345,1344,159875.000000000000000,159875.000000000000000,0.575892128211440
1346,1345,159887.000000000000000,159887.000000000000000,1.343338643424131
1347,1346,159895.000000000000000,159895.000000000000000,1.132098707408274
1348,1347,159892.000000000000000,159892.000000000000000,0.845458041603768
1349,1348,159908.000000000000000,159908.000000000000000,0.115678868674379
1350,1349,159910.000000000000000,159910.000000000000000,0.100092199021526
1351,1350,159886.000000000000000,159886.000000000000000,0.074126971369963
1352,1351,159891.000000000000000,159891.000000000000000,0.009628446109106
1353,1352,159886.000000000000000,159886.000000000000000,0.050017186794694
1354,1353,159871.000000000000000,159871.000000000000000,0.053972178418002
1355,1354,159908.000000000000000,159908.000000000000000,0.060074353410714
1356,1355,159908.000000000000000,159908.000000000000000,0.201367827936308
1357,1356,159884.000000000000000,159884.000000000000000,0.731204006056394
1358,1357,159908.000000000000000,159908.000000000000000,0.517514252557100
1359,1358,159895.000000000000000,159895.000000000000000,0.239413020995437
1360,1359,159859.000000000000000,159859.000000000000000,0.106899750353577
1361,1360,159891.000000000000000,159891.000000000000000,0.044526184598512
1362,1361,159907.000000000000000,159907.000000000000000,0.013798693842084
1363,1362,159884.000000000000000,159884.000000000000000,0.360279264199785
1364,1363,159907.000000000000000,159907.000000000000000,0.120174963010116
1365,1364,159908.000000000000000,159908.000000000000000,1.113567528730748
1366,1365,159878.000000000000000,159878.000000000000000,0.766592557430347
1367,1366,159873.000000000000000,159873.000000000000000,1.561570094807824
1368,1367,159888.000000000000000,159888.000000000000000,0.578903084198277
1369,1368,159898.000000000000000,159898.000000000000000,0.521384039143342
1370,1369,159892.000000000000000,159892.000000000000000,1.645638939485735
1371,1370,159906.000000000000000,159906.000000000000000,2.506703346270266
1372,1371,159906.000000000000000,159906.000000000000000,0.880384288910584
1373,1372,159870.000000000000000,159870.000000000000000,0.000000000000000
1374,1373,159881.000000000000000,159881.000000000000000,0.000000000000000
1375,1374,159888.000000000000000,159888.000000000000000,0.000000000000000
1376,1375,159881.000000000000000,159881.000000000000000,0.000000000000000
1377,1376,159906.000000000000000,159906.000000000000000,0.000000000000000
1378,1377,159905.000000000000000,159905.000000000000000,0.000000000000000
1379,1378,159881.000000000000000,159881.000000000000000,0.000000000000000
1380,1379,90873.000000000000000,90873.000000000000000,0.000000000000000
1381,1380,141636.000000000000000,141636.000000000000000,0.051806898407134
1382,1381,159911.000000000000000,159911.000000000000000,2.292543384358191
1383,1382,159912.000000000000000,159912.000000000000000,4.044737439568457
1384,1383,159889.000000000000000,159889.000000000000000,3.262565467018128
1385,1384,159910.000000000000000,159910.000000000000000,3.446044808896432
1386,1385,159892.000000000000000,159892.000000000000000,2.626727611335671
1387,1386,159863.000000000000000,159863.000000000000000,2.227523219848424
1388,1387,159898.000000000000000,159898.000000000000000,1.660965677142610
1389,1388,159911.000000000000000,159911.000000000000000,2.227932174959956
1390,1389,159886.000000000000000,159886.000000000000000,1.237080381983777
1391,1390,159912.000000000000000,159912.000000000000000,1.666760202035987
1392,1391,159909.000000000000000,159909.000000000000000,1.771199239684770
1393,1392,159873.000000000000000,159873.000000000000000,2.343416786063774
1394,1393,159885.000000000000000,159885.000000000000000,1.388537865354300
1395,1394,159893.000000000000000,159893.000000000000000,0.841643929814774
1396,1395,159888.000000000000000,159888.000000000000000,0.392134911136250
1397,1396,159906.000000000000000,159906.000000000000000,0.148910586108408
1398,1397,159910.000000000000000,159910.000000000000000,0.027399606271142
1399,1398,159893.000000000000000,159893.000000000000000,0.105629628957739
1400,1399,159891.000000000000000,159891.000000000000000,0.107316671799559
1401,1400,159884.000000000000000,159884.000000000000000,0.080490721953838
1402,1401,159878.000000000000000,159878.000000000000000,0.397324327731261
1403,1402,159894.000000000000000,159894.000000000000000,0.783829387906372
1404,1403,159908.000000000000000,159908.000000000000000,0.451437375620469
1405,1404,159906.000000000000000,159906.000000000000000,0.883836493796828
1406,1405,159886.000000000000000,159886.000000000000000,0.470641738545936
1407,1406,159900.000000000000000,159900.000000000000000,0.476623530480333
1408,1407,159884.000000000000000,159884.000000000000000,0.454551618519313
1409,1408,159860.000000000000000,159860.000000000000000,0.182858563006393
1410,1409,159906.000000000000000,159906.000000000000000,0.085984911353316
1411,1410,159907.000000000000000,159907.000000000000000,0.217043696912960
1412,1411,159884.000000000000000,159884.000000000000000,0.598572049338132
1413,1412,159907.000000000000000,159907.000000000000000,0.812855875779030
1414,1413,159901.000000000000000,159901.000000000000000,1.037838209221206
1415,1414,159859.000000000000000,159859.000000000000000,0.858664480628189
1416,1415,159882.000000000000000,159882.000000000000000,2.039744874951793
1417,1416,159906.000000000000000,159906.000000000000000,1.691881365861523
1418,1417,159881.000000000000000,159881.000000000000000,0.385081444454922
1419,1418,159906.000000000000000,159906.000000000000000,0.000000000000000
